COM4
2018-11-06 20:00:54
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
131120181311201813112018131120181311201807000700070007000700
131120181311201813112018131120181311201807000700070007000700
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
041220180412201804122018041220180412201807000700070007000700
041220180412201804122018041220180412201807000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
21:02:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:03:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:04:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:05:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:06:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:07:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:08:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:09:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:10:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:11:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
