COM4
2018-12-10 18:37:29
183820181210001001001121212
000000000000000000000000000000000000000000000000000000000000
183907000700070007000700070007000700070001351224122412241224
122412241224122412240700070007000700070007000700070007000700
122412241224122412241224122412241224122407000700070007000700
070007000700070007001224122412241224122412241224122412241224
HH:MM:SS MO/DY/YEAR DAY Internal LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
19:28:00 12/10/2018 001 20:18:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:29:00 12/10/2018 001 20:20:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:30:00 12/10/2018 001 20:22:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:31:00 12/10/2018 001 20:24:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:32:00 12/10/2018 001 20:26:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:33:00 12/10/2018 001 20:28:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:34:00 12/10/2018 001 20:30:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:35:00 12/10/2018 001 20:32:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:36:00 12/10/2018 001 20:34:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:37:00 12/10/2018 001 20:36:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:38:00 12/10/2018 001 20:38:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:39:00 12/10/2018 001 20:40:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:40:00 12/10/2018 001 20:42:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:41:00 12/10/2018 001 20:44:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:42:00 12/10/2018 001 20:46:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:43:00 12/10/2018 001 20:48:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:44:00 12/10/2018 001 20:50:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:45:00 12/10/2018 001 20:52:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:46:00 12/10/2018 001 20:54:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:47:00 12/10/2018 001 20:56:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:48:00 12/10/2018 001 20:58:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:49:00 12/10/2018 001 21:00:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:50:00 12/10/2018 001 21:02:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:51:00 12/10/2018 001 21:04:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:52:00 12/10/2018 001 21:06:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:53:00 12/10/2018 001 21:08:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:54:00 12/10/2018 001 21:10:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:55:00 12/10/2018 001 21:12:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:56:00 12/10/2018 001 21:14:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:57:00 12/10/2018 001 21:16:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:58:00 12/10/2018 001 21:18:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:59:00 12/10/2018 001 21:20:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:00:00 12/10/2018 001 21:22:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:01:00 12/10/2018 001 21:24:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:02:00 12/10/2018 001 21:26:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:03:00 12/10/2018 001 21:28:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:04:00 12/10/2018 001 21:30:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:05:00 12/10/2018 001 21:32:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:06:00 12/10/2018 001 21:34:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:07:00 12/10/2018 001 21:36:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:08:00 12/10/2018 001 21:38:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:09:00 12/10/2018 001 21:40:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:10:00 12/10/2018 001 21:42:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:11:00 12/10/2018 001 21:44:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:12:00 12/10/2018 001 21:46:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:13:00 12/10/2018 001 21:48:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:14:00 12/10/2018 001 21:50:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:15:00 12/10/2018 001 21:52:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:16:00 12/10/2018 001 21:54:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:17:00 12/10/2018 001 21:56:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:18:00 12/10/2018 001 21:58:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:19:00 12/10/2018 001 22:00:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:20:00 12/10/2018 001 22:02:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
20:21:00 12/10/2018 001 22:04:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
